YCSB_KEY,field0,field1,field2,field3,field4,field5,field6,field7
user0,2019-12-31,27.0,28.086000442504883,26.80533218383789,27.8886661529541,27.8886661529541,154285500,TSLA
user1,2020-01-02,28.299999237060547,28.713333129882812,28.11400032043457,28.68400001525879,28.68400001525879,142981500,TSLA
user2,2020-01-03,29.366666793823242,30.266666412353516,29.128000259399414,29.534000396728516,29.534000396728516,266677500,TSLA
user3,2020-01-06,29.364667892456055,30.104000091552734,29.333332061767578,30.1026668548584,30.1026668548584,151995000,TSLA
user4,2020-01-07,30.760000228881836,31.441999435424805,30.224000930786133,31.270666122436523,31.270666122436523,268231500,TSLA
user5,2020-01-08,31.579999923706055,33.232666015625,31.215333938598633,32.80933380126953,32.80933380126953,467164500,TSLA
user6,2020-01-09,33.13999938964844,33.253334045410156,31.524667739868164,32.089332580566406,32.089332580566406,426606000,TSLA
user7,2020-01-10,32.11933135986328,32.3293342590332,31.579999923706055,31.876667022705078,31.876667022705078,194392500,TSLA
user8,2020-01-13,32.900001525878906,35.04199981689453,32.79999923706055,34.990665435791016,34.990665435791016,397764000,TSLA
user9,2020-01-14,36.284000396728516,36.49399948120117,34.99333190917969,35.861331939697266,35.861331939697266,434943000,TSLA
user10,2020-01-15,35.31733322143555,35.85599899291992,34.452667236328125,34.56666564941406,34.56666564941406,260532000,TSLA
user11,2020-01-16,32.91666793823242,34.297332763671875,32.81133270263672,34.232666015625,34.232666015625,326050500,TSLA
user12,2020-01-17,33.840667724609375,34.37799835205078,33.54399871826172,34.03333282470703,34.03333282470703,204436500,TSLA
user13,2020-01-21,35.349998474121094,36.571998596191406,35.227333068847656,36.47999954223633,36.47999954223633,267052500,TSLA
user14,2020-01-22,38.125999450683594,39.633331298828125,37.27333450317383,37.97066879272461,37.97066879272461,470535000,TSLA
user15,2020-01-23,37.616668701171875,38.79999923706055,37.040000915527344,38.14666748046875,38.14666748046875,294765000,TSLA
user16,2020-01-24,38.04199981689453,38.25733184814453,36.95066833496094,37.654666900634766,37.654666900634766,215304000,TSLA
user17,2020-01-27,36.132667541503906,37.62933349609375,35.95199966430664,37.201332092285156,37.201332092285156,204121500,TSLA
user18,2020-01-28,37.89933395385742,38.45399856567383,37.2053337097168,37.793331146240234,37.793331146240234,176827500,TSLA
user19,2020-01-29,38.37933349609375,39.31999969482422,37.82866668701172,38.732666015625,38.732666015625,267022500,TSLA
user20,2020-01-30,42.16133117675781,43.391998291015625,41.20000076293945,42.72066879272461,42.72066879272461,435085500,TSLA
user21,2020-01-31,42.66666793823242,43.53333282470703,42.167999267578125,43.371334075927734,43.371334075927734,235789500,TSLA
user22,2020-02-03,44.91266632080078,52.409332275390625,44.90133285522461,52.0,52.0,705975000,TSLA
user23,2020-02-04,58.86399841308594,64.59933471679688,55.59199905395508,59.137332916259766,59.137332916259766,914082000,TSLA
user24,2020-02-05,54.88399887084961,56.39866638183594,46.94066619873047,48.97999954223633,48.97999954223633,726357000,TSLA
user25,2020-02-06,46.66133117675781,53.05533218383789,45.79999923706055,49.930667877197266,49.930667877197266,598212000,TSLA
user26,2020-02-07,48.70333480834961,51.31666564941406,48.66666793823242,49.871334075927734,49.871334075927734,255952500,TSLA
user27,2020-02-10,53.33333206176758,54.66600036621094,50.15999984741211,51.41866683959961,51.41866683959961,370338000,TSLA
user28,2020-02-11,51.25266647338867,52.23400115966797,50.53333282470703,51.62533187866211,51.62533187866211,175462500,TSLA
user29,2020-02-12,51.858001708984375,52.650001525878906,50.891334533691406,51.15266799926758,51.15266799926758,180337500,TSLA
user30,2020-02-13,49.45600128173828,54.53333282470703,49.0,53.599998474121094,53.599998474121094,394339500,TSLA
user31,2020-02-14,52.4813346862793,54.198001861572266,52.366668701171875,53.33533477783203,53.33533477783203,235405500,TSLA
user32,2020-02-18,56.106666564941406,57.33333206176758,55.490665435791016,57.22666549682617,57.22666549682617,245725500,TSLA
user33,2020-02-19,61.56666564941406,62.98533248901367,60.06800079345703,61.16133117675781,61.16133117675781,381345000,TSLA
user34,2020-02-20,60.79666519165039,60.79999923706055,57.3293342590332,59.96066665649414,59.96066665649414,264523500,TSLA
user35,2020-02-21,60.46533203125,60.87066650390625,58.6966667175293,60.06666564941406,60.06666564941406,214722000,TSLA
user36,2020-02-24,55.93333435058594,57.56666564941406,54.813331604003906,55.58599853515625,55.58599853515625,227883000,TSLA
user37,2020-02-25,56.599998474121094,57.106666564941406,52.46666717529297,53.32733154296875,53.32733154296875,259357500,TSLA
user38,2020-02-26,52.16666793823242,54.22066879272461,51.740665435791016,51.91999816894531,51.91999816894531,211282500,TSLA
user39,2020-02-27,48.66666793823242,49.31800079345703,44.599998474121094,45.266666412353516,45.266666412353516,364158000,TSLA
user40,2020-02-28,41.97999954223633,46.03466796875,40.768001556396484,44.53266525268555,44.53266525268555,363343500,TSLA
user41,2020-03-02,47.41733169555664,49.5793342590332,45.77799987792969,49.574668884277344,49.574668884277344,302925000,TSLA
user42,2020-03-03,53.66666793823242,53.798667907714844,47.740665435791016,49.70066833496094,49.70066833496094,386760000,TSLA
user43,2020-03-04,50.930667877197266,51.10133361816406,48.31533432006836,49.96666717529297,49.96666717529297,225735000,TSLA
user44,2020-03-05,48.2513313293457,49.71666717529297,47.871334075927734,48.30266571044922,48.30266571044922,162790500,TSLA
user45,2020-03-06,46.0,47.133331298828125,45.61800003051758,46.89866638183594,46.89866638183594,189943500,TSLA
user46,2020-03-09,40.35933303833008,44.20000076293945,40.33333206176758,40.53333282470703,40.53333282470703,256105500,TSLA
user47,2020-03-10,43.96200180053711,44.53333282470703,40.53333282470703,43.02199935913086,43.02199935913086,233916000,TSLA
user48,2020-03-11,42.68000030517578,43.571998596191406,40.866668701171875,42.28200149536133,42.28200149536133,199837500,TSLA
user49,2020-03-12,38.72600173950195,39.633331298828125,36.41666793823242,37.369998931884766,37.369998931884766,283636500,TSLA
user50,2020-03-13,39.66666793823242,40.50466537475586,33.46666717529297,36.44133377075195,36.44133377075195,339604500,TSLA
user51,2020-03-16,31.299999237060547,32.9913330078125,29.47800064086914,29.67133331298828,29.67133331298828,307342500,TSLA
user52,2020-03-17,29.333999633789062,31.456666946411133,26.399999618530273,28.68000030517578,28.68000030517578,359919000,TSLA
user53,2020-03-18,25.933332443237305,26.99066734313965,23.367332458496094,24.08133316040039,24.08133316040039,356793000,TSLA
user54,2020-03-19,24.979999542236328,30.133333206176758,23.8973331451416,28.50933265686035,28.50933265686035,452932500,TSLA
user55,2020-03-20,29.213333129882812,31.799999237060547,28.38599967956543,28.50200080871582,28.50200080871582,424282500,TSLA
user56,2020-03-23,28.906667709350586,29.46666717529297,27.366666793823242,28.952667236328125,28.952667236328125,246817500,TSLA
user57,2020-03-24,31.81999969482422,34.24599838256836,31.600000381469727,33.66666793823242,33.66666793823242,343428000,TSLA
user58,2020-03-25,36.349998474121094,37.133331298828125,34.07400131225586,35.95000076293945,35.95000076293945,318340500,TSLA
user59,2020-03-26,36.49266815185547,37.33333206176758,34.150001525878906,35.21066665649414,35.21066665649414,260710500,TSLA
user60,2020-03-27,33.66666793823242,35.0533332824707,32.935333251953125,34.29066848754883,34.29066848754883,215661000,TSLA
user61,2020-03-30,34.017333984375,34.44333267211914,32.7486686706543,33.47533416748047,33.47533416748047,179971500,TSLA
user62,2020-03-31,33.41666793823242,36.19733428955078,33.133331298828125,34.93333435058594,34.93333435058594,266572500,TSLA
user63,2020-04-01,33.599998474121094,34.26333236694336,31.67333221435547,32.104000091552734,32.104000091552734,200298000,TSLA
