YCSB_KEY,field0,field1,field2
user0,2020-01-01,AMZN,dow future point already
user1,2020-01-01,TSLA,daddy drinkin early tonight pt ohhhhh
user2,2020-01-01,AAPL,well riding since last december do decision decision hmm min decide suggestion
user3,2020-01-01,TSLA,happy new year everyone
user4,2020-01-01,TSLA,haha collection greatsmars rofl bork
user5,2020-01-01,TSLA,nobody gas car driven human killed s upon s
user6,2020-01-02,AAPL,call first trade congrats bull
user7,2020-01-02,AAPL,remember short every day one day right
user8,2020-01-02,AAPL,called it bear comment make chuckle inside sweeet
user9,2020-01-02,AAPL,taking thing aapl
user10,2020-01-02,AAPL,bad day wish wouldnt sold call monday still took decent profit next week call though
user11,2020-01-02,AAPL,peep posting bearish since
user12,2020-01-03,NVDA,least already
user13,2020-01-03,AAPL,tomorrow buy time dip green
user14,2020-01-03,AAPL,thanks dip let bear talk gibberish ignore it
user15,2020-01-03,AAPL,leave enough red buy call open
user16,2020-01-03,AAPL,short bear never go apple
user17,2020-01-03,TSLA,must rise level winning elate losing deflate me going happen today
user18,2020-01-03,TSLA,short f u c k e d
user19,2020-01-03,TSLA,dont short it trap lol see day
user20,2020-01-03,AMZN,ever shorted today deported u immigrant
user21,2020-01-03,TSLA,see anything like tesla stock last year itll epic year model y roll summer
user22,2020-01-03,TSLA,one hear bear cry forest
user23,2020-01-03,TSLA,ignore clown bear marvelous opportunity awaits longterm bull
user24,2020-01-03,AAPL,end january
user25,2020-01-06,AAPL,it funny easy laugh bear point dont guy something useful like find good job afford buy apple instead posting jealous hate looking like
user26,2020-01-06,AAPL,hit today need another point reach like smart gentleman said cnbc
user27,2020-01-06,AMZN,hope come close touching either tomorrow wednesday
user28,2020-01-06,TSLA,squeal like pig chanos squeal like pig
user29,2020-01-06,NFLX,test possibly test s tomorrow day mention since open
user30,2020-01-06,TSLA,short thought making quick easy bethahhaha
user31,2020-01-06,TSLA,listened bear
user32,2020-01-06,TSLA,keep roasting short
user33,2020-01-07,TSLA,butt ww screw sink stock whole house thrown still go up bear real
user34,2020-01-07,TSLA,congratulation elon spacex another successful drone ship landing the man zone
